mlbam,name,season,cutoff,pre_IP,pre_FIP,pre_ERA,pre_K%,pre_BB%,pre_HR9,prior_FIP,prior_IP,target_FIP,post_IP
621052,Alex Reyes,2021,0531,28.0,3.527,0.64,32.23,20.66,0.32,3.242,19.7,4.952,44.3
594798,Jacob deGrom,2021,0531,51.0,1.131,0.71,45.81,3.91,0.53,2.265,68.0,1.365,41.0
458681,Lance Lynn,2021,0531,52.7,2.904,1.2,26.89,7.08,0.68,4.191,84.0,3.525,104.3
605540,Brandon Woodruff,2021,0531,71.0,2.184,1.27,31.8,6.13,0.38,3.205,73.7,3.465,108.3
677960,Ryan Weathers,2021,0531,34.3,3.782,1.31,20.61,8.4,0.79,,,6.385,60.3
592332,Kevin Gausman,2021,0531,70.7,2.236,1.4,30.86,5.95,0.51,3.09,59.7,3.45,121.3
663460,Kris Bubic,2021,0531,29.7,3.541,1.52,18.97,12.07,0.3,4.751,50.0,5.612,100.3
643511,Tyler Rogers,2021,0531,27.7,3.965,1.63,12.5,4.46,0.65,3.262,28.0,2.926,53.3
656629,Michael Kopech,2021,0531,31.3,2.596,1.72,36.0,8.8,0.86,,,3.275,38.0
543037,Gerrit Cole,2021,0531,70.7,1.769,1.78,36.88,3.42,0.64,3.89,73.0,3.658,110.7
607231,John Gant,2021,0531,44.7,4.11,1.81,17.41,15.42,0.2,2.191,15.0,5.236,65.3
669432,Trevor Rogers,2021,0531,62.7,2.516,1.87,30.52,8.84,0.43,4.334,28.0,2.573,70.3
607074,Carlos Rodón,2021,0531,54.7,2.658,1.98,37.21,6.05,0.99,4.887,7.7,2.644,78.0
605130,Scott Barlow,2021,0531,27.0,1.689,2.0,35.65,10.43,0.0,3.424,30.0,3.17,47.3
606149,Giovanny Gallegos,2021,0531,31.0,2.17,2.03,32.17,6.09,0.29,2.058,15.0,3.109,49.3
607644,John Means,2021,0531,70.3,3.867,2.05,25.86,4.94,1.41,5.596,43.7,5.305,76.3
643338,Chad Green,2021,0531,26.0,3.862,2.08,25.27,4.4,1.38,4.165,25.7,3.465,57.7
667463,John King,2021,0531,26.0,2.939,2.08,18.18,3.64,0.35,5.707,10.3,3.82,20.0
605397,Joe Musgrove,2021,0531,60.7,2.791,2.08,33.47,5.08,0.89,3.418,39.7,4.156,120.7
615698,Cal Quantrill,2021,0531,30.3,3.665,2.08,19.84,8.73,0.59,3.91,32.0,4.167,119.3
506433,Yu Darvish,2021,0531,66.7,2.96,2.16,30.04,6.08,0.81,2.23,76.0,4.535,99.7
592836,Taijuan Walker,2021,0531,53.7,2.536,2.18,25.94,8.96,0.17,4.56,53.3,5.61,105.3
669203,Corbin Burnes,2021,0531,52.3,1.202,2.24,40.91,3.54,0.34,2.035,59.7,1.827,114.7
502043,Kyle Gibson,2021,0531,60.3,3.269,2.24,20.08,7.95,0.45,5.389,67.3,4.165,121.7
545333,Trevor Bauer,2021,0531,76.3,3.891,2.24,32.65,7.82,1.53,2.876,73.0,4.383,31.3
453286,Max Scherzer,2021,0531,69.3,3.228,2.34,36.54,5.38,1.43,3.458,67.3,2.815,110.0
642547,Freddy Peralta,2021,0531,56.7,3.046,2.38,37.22,10.76,0.95,2.407,29.3,3.17,87.7
650893,Génesis Cabrera,2021,0531,26.3,3.436,2.39,26.32,13.16,0.34,4.758,22.3,3.193,43.7
642528,Jonathan Loáisiga,2021,0531,26.3,3.208,2.39,22.33,4.85,0.68,4.408,23.0,2.2,44.3
622072,Alex Wood,2021,0531,48.0,3.524,2.44,26.32,5.79,1.12,5.007,12.7,3.457,90.7
476595,Lucas Luetge,2021,0531,25.7,2.936,2.45,27.0,3.0,1.05,,,2.784,46.7
573186,Marcus Stroman,2021,0531,58.7,3.698,2.45,19.57,5.53,0.92,,,3.394,120.3
663423,Trent Thornton,2021,0531,25.3,4.67,2.49,23.36,9.35,1.42,2.662,5.7,6.297,23.7
